,id,val,Node,Channel,Value,is_posted,create_ts,sent_ts,State ,rolling_avg,pred
0,4403892,1603285199, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.01,Idle,,Idle
1,4403893,1603285199, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.04,Idle,,Idle
2,4403894,1603285199, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.01,Idle,,Idle
3,4403903,1603285200, EC4N0003, A1,0.14,0,2020-10-21 13:00:00,0.0,Idle,0.125,Idle
4,4403904,1603285200, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.02,Idle,0.135,Idle
5,4403918,1603285201, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,0.01,Idle,0.1375,Idle
6,4403919,1603285201, EC4N0003, A2,0.13,0,2020-10-21 13:00:00,-0.04,Idle,0.1325,Idle
7,4403920,1603285201, EC4N0003, A0,0.09,0,2020-10-21 13:00:00,0.06,Idle,0.12,Idle
8,4403929,1603285202, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.03,Idle,0.1225,Idle
9,4403930,1603285202, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,-0.01,Idle,0.1225,Idle
10,4403931,1603285202, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,-0.01,Idle,0.1175,Idle
11,4403940,1603285203, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.02,Idle,0.12,Idle
12,4403941,1603285203, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,0.01,Idle,0.11249999999999999,Idle
13,4403951,1603285204, EC4N0003, A0,0.13,0,2020-10-21 13:00:00,-0.02,Idle,0.11499999999999999,Idle
14,4403952,1603285204, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.04,Idle,0.11499999999999999,Idle
15,4403953,1603285204, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.04,Idle,0.1275,Idle
16,4403962,1603285205, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.125,Idle
17,4403963,1603285205, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.02,Idle,0.1275,Idle
18,4403964,1603285205, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,0.02,Idle,0.13,Idle
19,4403973,1603285206, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.04,Idle,0.1275,Idle
20,4403974,1603285206, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.05,Idle,0.125,Idle
21,4403984,1603285207, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.04,Idle,0.1275,Idle
22,4403985,1603285207, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.125,Idle
23,4403986,1603285207, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,-0.01,Idle,0.1175,Idle
24,4403995,1603285208, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.1175,Idle
25,4403996,1603285208, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.10749999999999998,Idle
26,4403997,1603285208, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.03,Idle,0.11499999999999999,Idle
27,4404011,1603285209, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.06,Idle,0.11499999999999999,Idle
28,4404012,1603285209, EC4N0003, A2,0.17,0,2020-10-21 13:00:00,-0.04,Idle,0.1325,Idle
29,4404020,1603285210, EC4N0003, A1,0.13,0,2020-10-21 13:00:00,0.01,Idle,0.1375,Idle
30,4404021,1603285210, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,0.0,Idle,0.1375,Idle
31,4404026,1603285212, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.03,Idle,0.14500000000000002,Idle
32,4404027,1603285212, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.01,Idle,0.13,Idle
33,4404036,1603285213, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,-0.02,Idle,0.1275,Idle
34,4404037,1603285213, EC4N0003, A1,0.1,0,2020-10-21 13:00:00,0.05,Idle,0.1175,Idle
35,4404038,1603285213, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.03,Idle,0.12,Idle
36,4404047,1603285214, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,0.03,Idle,0.1225,Idle
37,4404048,1603285214, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.04,Idle,0.13,Idle
38,4404057,1603285215, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.1325,Idle
39,4404058,1603285215, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.04,Idle,0.13,Idle
40,4404059,1603285215, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.05,Idle,0.125,Idle
41,4404068,1603285216, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.04,Idle,0.125,Idle
42,4404069,1603285216, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.06,Idle,0.125,Idle
43,4404078,1603285217, EC4N0003, A2,0.17,0,2020-10-21 13:00:00,-0.05,Idle,0.1325,Idle
44,4404079,1603285217, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,-0.01,Idle,0.1375,Idle
45,4404080,1603285217, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,-0.01,Idle,0.1275,Idle
46,4404090,1603285218, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.125,Idle
47,4404091,1603285218, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.04,Idle,0.10999999999999999,Idle
48,4404092,1603285218, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.03,Idle,0.1175,Idle
49,4404105,1603285219, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,0.04,Idle,0.12,Idle
50,4404106,1603285219, EC4N0003, A2,0.16,0,2020-10-21 13:00:00,-0.05,Idle,0.135,Idle
51,4404116,1603285220, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.04,Idle,0.135,Idle
52,4404117,1603285220, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.03,Idle,0.135,Idle
53,4404118,1603285220, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,0.02,Idle,0.135,Idle
54,4404128,1603285221, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.03,Idle,0.13,Idle
55,4404129,1603285221, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.02,Idle,0.13,Idle
56,4404130,1603285221, EC4N0003, A1,0.13,0,2020-10-21 13:00:00,-0.02,Idle,0.125,Idle
57,4404140,1603285222, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.02,Idle,0.1225,Idle
58,4404141,1603285222, EC4N0003, A1,0.13,0,2020-10-21 13:00:00,-0.01,Idle,0.12,Idle
59,4404149,1603285223, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,-0.01,Idle,0.1225,Idle
60,4404150,1603285223, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.1175,Idle
61,4404151,1603285223, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.02,Idle,0.125,Idle
62,4404161,1603285224, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,0.03,Idle,0.1225,Idle
63,4404162,1603285224, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.02,Idle,0.13,Idle
64,4404172,1603285225, EC4N0003, A1,0.13,0,2020-10-21 13:00:00,0.02,Idle,0.135,Idle
65,4404173,1603285225, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.05,Idle,0.1375,Idle
66,4404174,1603285225, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.04,Idle,0.1325,Idle
67,4404184,1603285226, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.01,Idle,0.13,Idle
68,4404185,1603285226, EC4N0003, A0,0.13,0,2020-10-21 13:00:00,-0.02,Idle,0.13,Idle
69,4404186,1603285226, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.02,Idle,0.12,Idle
70,4404195,1603285227, EC4N0003, A0,0.13,0,2020-10-21 13:00:00,-0.03,Idle,0.1275,Idle
71,4404196,1603285227, EC4N0003, A1,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.1175,Idle
72,4404205,1603285228, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.11249999999999999,Idle
73,4404206,1603285228, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.11249999999999999,Idle
74,4404207,1603285228, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.02,Idle,0.11499999999999999,Idle
75,4404217,1603285229, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,0.02,Idle,0.12,Idle
76,4404218,1603285229, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,0.02,Idle,0.1275,Idle
77,4404227,1603285230, EC4N0003, A2,0.16,0,2020-10-21 13:00:00,-0.05,Idle,0.14,Idle
78,4404228,1603285230, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.04,Idle,0.1325,Idle
79,4404238,1603285231, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.05,Idle,0.14,Idle
80,4404239,1603285231, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.13,Idle
81,4404240,1603285231, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.1175,Idle
82,4404249,1603285232, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,-0.01,Idle,0.1175,Idle
83,4404250,1603285232, EC4N0003, A1,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.10499999999999998,Idle
84,4404259,1603285233, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.10749999999999998,Idle
